"","COMMON_NAME","SCIENTIFIC_NAME","ID_RANK","WORMS"
"3474","snow crab","Chionoecetes opilio","species",107315
"3475","Alaska skate","Arctoraja parmifera","species",1577324
"3476","sturgeon poacher","Podothecus accipenserinus","species",254501
"3477","Tanner crab","Chionoecetes bairdi","species",368558
"3478","Pacific capelin","Mallotus villosus","species",126735
"3479","empty bivalve shells",NA,NA,NA
"3480","basketstar","Gorgonocephalus eucnemis","species",124969
"3481","discordant mussel","Musculus discors","species",140472
"3482",NA,"Gersemia rubiformis","species",156103
"3483","empty gastropod shells",NA,NA,NA
"3484","flathead sole","Hippoglossoides elassodon","species",274289
"3485","Pacific cod","Gadus macrocephalus","species",254538
"3486","sea peach unid.","Halocynthia sp.","genus",103519
"3487","blackspined sea star","Lethasterias nanimensis","species",254499
"3488","Pacific lyre crab","Hyas lyratus","species",442167
"3489","snow crab","Chionoecetes opilio","species",107315
"3490","rex sole","Glyptocephalus zachirus","species",274287
"3491",NA,"Macoma sp.","genus",138531
"3492","empty gastropod shells",NA,NA,NA
"3493","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3494","Kamchatka flounder","Atheresthes evermanni","species",279791
"3495","sea anemone unid.","Actiniaria","order",1360
"3496","flathead sole","Hippoglossoides elassodon","species",274289
"3497",NA,"Chrysaora melanaster","species",287209
"3498","green sea urchin","Strongylocentrotus droebachiensis","species",124321
"3499","northern rock sole","Lepidopsetta polyxystra","species",281307
"3500","fragile whelk","Volutopsius fragilis","species",491385
"3501","empty gastropod shells",NA,NA,NA
"3502","walleye pollock","Gadus chalcogrammus","species",300735
"3503",NA,"Capulidae","family",139
"3504","walleye pollock","Gadus chalcogrammus","species",300735
"3505","common mud star","Ctenodiscus crispatus","species",123915
"3506","empty bivalve shells",NA,NA,NA
"3507","walleye pollock","Gadus chalcogrammus","species",300735
"3508","flathead sole","Hippoglossoides elassodon","species",274289
"3509","northern sun sea star","Solaster endeca","species",124160
"3510","longfinger hermit","Pagurus rathbuni","species",254491
"3511","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3512","wattled eelpout","Lycodes palearis","species",254585
"3513","sea potato","Styela rustica","species",103937
"3514","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3515","Kamchatka flounder","Atheresthes evermanni","species",279791
"3516","empty bivalve shells",NA,NA,NA
"3517","wattled eelpout","Lycodes palearis","species",254585
"3518","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"3519","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"3520","Tanner crab","Chionoecetes bairdi","species",368558
"3521","purple-orange sea star","Asterias amurensis","species",254497
"3522","spatulate sculpin","Icelus spatula","species",127200
"3523","yellowfin sole","Limanda aspera","species",254562
"3524","arrowtooth flounder","Atheresthes stomias","species",279792
"3525","spatulate sculpin","Icelus spatula","species",127200
"3526","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3527","Pacific herring","Clupea pallasii","species",151159
"3528","wattled eelpout","Lycodes palearis","species",254585
"3529",NA,"Chrysaora melanaster","species",287209
"3530","northern rock sole","Lepidopsetta polyxystra","species",281307
"3531","red king crab","Paralithodes camtschaticus","species",233889
"3532",NA,"Chrysaora melanaster","species",287209
"3533","Alaska skate","Arctoraja parmifera","species",1577324
"3534","compound ascidian unid.",NA,NA,NA
"3535","Pacific herring","Clupea pallasii","species",151159
"3536","Pacific halibut","Hippoglossus stenolepis","species",274290
"3537","Arctic surfclam","Mactromeris polynyma","species",156863
"3538","compound ascidian unid.",NA,NA,NA
"3539","Pacific capelin","Mallotus villosus","species",126735
"3540","sand lance unid.","Ammodytes sp.","genus",125909
"3541","yellowfin sole","Limanda aspera","species",254562
"3542","walleye pollock","Gadus chalcogrammus","species",300735
"3543","Pacific lyre crab","Hyas lyratus","species",442167
"3544","Alaska skate","Arctoraja parmifera","species",1577324
"3545","starry flounder","Platichthys stellatus","species",154781
"3546","walleye pollock","Gadus chalcogrammus","species",300735
"3547",NA,"Leptasterias arctica","species",369158
"3548",NA,"Crangon sp.","genus",107007
"3549","Pacific halibut","Hippoglossus stenolepis","species",274290
"3550","sturgeon poacher","Podothecus accipenserinus","species",254501
"3551","purple-orange sea star","Asterias amurensis","species",254497
"3552","knobbyhand hermit","Pagurus confragosus","species",366670
"3553","notched brittlestar","Ophiura sarsii","species",124934
"3554","slender eelblenny","Lumpenus fabricii","species",127073
"3555","shorthorn (=warty) sculpin","Myoxocephalus scorpius","species",127203
"3556","Pacific halibut","Hippoglossus stenolepis","species",274290
"3557","lyre whelk","Neptunea lyrata","species",254477
"3558","depressed scale worm","Eunoe depressa","species",254455
"3559","arrowtooth flounder","Atheresthes stomias","species",279792
"3560","Kamchatka flounder","Atheresthes evermanni","species",279791
"3561","arrowtooth flounder","Atheresthes stomias","species",279792
"3562","sea raspberry","Gersemia sp.","genus",146953
"3563","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3564","knobbyhand hermit","Pagurus confragosus","species",366670
"3565","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3566","Alaska skate","Arctoraja parmifera","species",1577324
"3567","walleye pollock","Gadus chalcogrammus","species",300735
"3568","eastern Pacific bobtail","Rossia pacifica","species",346432
"3569","Greenland turbot","Reinhardtius hippoglossoides","species",127144
"3570","northern rock sole","Lepidopsetta polyxystra","species",281307
"3571","eastern Pacific bobtail","Rossia pacifica","species",346432
"3572","blackspined sea star","Lethasterias nanimensis","species",254499
"3573","Aleutian alligatorfish","Aspidophoroides monopterygius","species",159459
"3574","spatulate sculpin","Icelus spatula","species",127200
"3575",NA,"Chrysaora melanaster","species",287209
"3576","sturgeon poacher","Podothecus accipenserinus","species",254501
"3577","sponge unid.","Porifera","phylum",558
"3578","sea whip or sea pen unid.","Pennatuloidea","superfamily",1609360
"3579",NA,"Neptunea heros","species",254479
"3580","ladder whelk","Buccinum scalariforme","species",138875
"3581",NA,"Gersemia rubiformis","species",156103
"3582","purple-orange sea star","Asterias amurensis","species",254497
"3583","splendid hermit","Labidochirus splendescens","species",248348
"3584","hydroid unid.","Hydroidolina","subclass",19494
"3585",NA,"Plicifusus kroyeri","species",491269
"3586","sea potato","Styela rustica","species",103937
"3587","yellowfin sole","Limanda aspera","species",254562
"3588","walleye pollock","Gadus chalcogrammus","species",300735
"3589","shortfin eelpout","Lycodes brevipes","species",254595
"3590","sablefish","Anoplopoma fimbria","species",159463
"3591","Alaska skate","Arctoraja parmifera","species",1577324
"3592","basketstar","Gorgonocephalus eucnemis","species",124969
"3593","brown rimmed jelly","Aurelia limbata","species",158199
"3594","hairy hermit crab","Pagurus capillatus","species",254489
"3595","Bering skate","Bathyraja interrupta","species",271515
"3596","gigantic anemone","Metridium farcimen","species",283704
"3597","flathead sole","Hippoglossoides elassodon","species",274289
"3598","Pacific halibut","Hippoglossus stenolepis","species",274290
"3599","notched brittlestar","Ophiura sarsii","species",124934
"3600","Aleutian hermit","Pagurus aleuticus","species",366647
"3601","Alaska skate","Arctoraja parmifera","species",1577324
"3602","shortfin eelpout","Lycodes brevipes","species",254595
"3603","ladder whelk","Buccinum scalariforme","species",138875
"3604",NA,"Polychaeta tubes","class",NA
"3605","hairy hermit crab","Pagurus capillatus","species",254489
"3606","yellowfin sole","Limanda aspera","species",254562
"3607",NA,"Colus sp.","genus",137704
"3608","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3609","wattled eelpout","Lycodes palearis","species",254585
"3610","longfinger hermit","Pagurus rathbuni","species",254491
"3611","Pacific lyre crab","Hyas lyratus","species",442167
"3612","warped whelk","Pyrulofusus deformis","species",254378
"3613","Bering flounder","Hippoglossoides robustus","species",254561
"3614","basketstar","Gorgonocephalus eucnemis","species",124969
"3615",NA,"Leptasterias polaris","species",125154
"3616","pale moonsnail","Euspira pallida","species",140536
"3617","snow crab","Chionoecetes opilio","species",107315
"3618","giant sea star","Evasterias echinosoma","species",254498
"3619","fat whelk","Neptunea ventricosa","species",156264
"3620","yellowfin sole","Limanda aspera","species",254562
"3621",NA,"Serripes sp.","genus",137741
"3622","green sea urchin","Strongylocentrotus droebachiensis","species",124321
"3623",NA,"Buccinum sp.","genus",137701
"3624",NA,"Colus sp.","genus",137704
"3625","northern rock sole","Lepidopsetta polyxystra","species",281307
"3626",NA,"Leptasterias polaris","species",125154
"3627","Tanner crab","Chionoecetes bairdi","species",368558
"3628","obscure sea star","Pteraster obscurus","species",124149
"3629","Alaska skate","Arctoraja parmifera","species",1577324
"3630",NA,"Buccinum sp.","genus",137701
"3631","peachskin snailfish","Careproctus scottae","species",274470
"3632","empty gastropod shells",NA,NA,NA
"3633","lyre whelk","Neptunea lyrata","species",254477
"3634","sea anemone unid.","Actiniaria","order",1360
"3635",NA,"Plicifusus kroyeri","species",491269
"3636","red king crab","Paralithodes camtschaticus","species",233889
"3637","graceful decorator crab","Oregonia gracilis","species",442171
"3638","horsehair crab","Erimacrus isenbeckii","species",440405
"3639","empty bivalve shells",NA,NA,NA
"3640",NA,"Chrysaora melanaster","species",287209
"3641","red king crab","Paralithodes camtschaticus","species",233889
"3642","arrowtooth flounder","Atheresthes stomias","species",279792
"3643","purple-orange sea star","Asterias amurensis","species",254497
"3644","Pacific cod","Gadus macrocephalus","species",254538
"3645","starry flounder","Platichthys stellatus","species",154781
"3646","fat whelk","Neptunea ventricosa","species",156264
"3647","Pacific herring","Clupea pallasii","species",151159
"3648","empty gastropod shells",NA,NA,NA
"3649","sturgeon poacher","Podothecus accipenserinus","species",254501
"3650","plain sculpin","Myoxocephalus jaok","species",254527
"3651","lyre whelk","Neptunea lyrata","species",254477
"3652",NA,"Chrysaora melanaster","species",287209
"3653","giant sea star","Evasterias echinosoma","species",254498
"3654","snail egg","Gastropoda egg","class",NA
"3655","arrowtooth flounder","Atheresthes stomias","species",279792
"3656","Tanner crab","Chionoecetes bairdi","species",368558
"3657","empty bivalve shells",NA,NA,NA
"3658","butter sole","Isopsetta isolepis","species",281189
"3659","sturgeon poacher","Podothecus accipenserinus","species",254501
"3660","Pacific herring","Clupea pallasii","species",151159
"3661","Alaska skate","Arctoraja parmifera","species",1577324
"3662","plain sculpin","Myoxocephalus jaok","species",254527
"3663",NA,"Henricia sp.","genus",123276
"3664","thorny sculpin","Icelus spiniger","species",254525
"3665","Alaskan pink shrimp","Pandalus eous","species",515463
"3666","Pacific lyre crab","Hyas lyratus","species",442167
"3667","Alaskan hermit","Pagurus ochotensis","species",366742
"3668","Oregon triton","Fusitriton oregonensis","species",476496
"3669","empty gastropod shells",NA,NA,NA
"3670","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"3671","Aleutian hermit","Pagurus aleuticus","species",366647
"3672","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3673","Pacific halibut","Hippoglossus stenolepis","species",274290
"3674","graceful decorator crab","Oregonia gracilis","species",442171
"3675","swimming anemone","Stomphia coccinea","species",100854
"3676","flathead sole","Hippoglossoides elassodon","species",274289
"3677","Kamchatka flounder","Atheresthes evermanni","species",279791
"3678","depressed scale worm","Eunoe depressa","species",254455
"3679","snow crab","Chionoecetes opilio","species",107315
"3680","northern rock sole","Lepidopsetta polyxystra","species",281307
"3681","starry flounder","Platichthys stellatus","species",154781
"3682","fragile whelk","Volutopsius fragilis","species",491385
"3683","warty blobsnail","Onchidiopsis clarki","species",833066
"3684","walleye pollock","Gadus chalcogrammus","species",300735
"3685","flathead sole","Hippoglossoides elassodon","species",274289
"3686","bryozoan unid.","Bryozoa","phylum",146142
"3687","brown rimmed jelly","Aurelia limbata","species",158199
"3688","Alaskan hermit","Pagurus ochotensis","species",366742
"3689","circumboreal toad crab","Hyas coarctatus","species",107323
"3690","Pacific lyre crab","Hyas lyratus","species",442167
"3691","empty gastropod shells",NA,NA,NA
"3692","splendid hermit","Labidochirus splendescens","species",248348
"3693","sturgeon poacher","Podothecus accipenserinus","species",254501
"3694","sponge unid.","Porifera","phylum",558
"3695",NA,"Beringius sp.","genus",137699
"3696","spinyhead sculpin","Dasycottus setiger","species",280488
"3697","Oregon triton","Fusitriton oregonensis","species",476496
"3698","ladder whelk","Buccinum scalariforme","species",138875
"3699","brittlestar unid.","Ophiuroidea","class",123084
"3700","empty gastropod shells",NA,NA,NA
"3701","arrowtooth flounder","Atheresthes stomias","species",279792
"3702","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3703","thorny sculpin","Icelus spiniger","species",254525
"3704","empty gastropod shells",NA,NA,NA
"3705","snow crab","Chionoecetes opilio","species",107315
"3706","empty bivalve shells",NA,NA,NA
"3707","flathead sole","Hippoglossoides elassodon","species",274289
"3708","sturgeon poacher","Podothecus accipenserinus","species",254501
"3709","Pacific cod","Gadus macrocephalus","species",254538
"3710","yellow Irish lord","Hemilepidotus jordani","species",254522
"3711","sea raspberry","Gersemia sp.","genus",146953
"3712","giant scale worm","Eunoe nodosa","species",130745
"3713",NA,"Colus sp.","genus",137704
"3714","arrowtooth flounder","Atheresthes stomias","species",279792
"3715","empty bivalve shells",NA,NA,NA
"3716","Alaska skate","Arctoraja parmifera","species",1577324
"3717","Pacific ocean perch","Sebastes alutus","species",254573
"3718",NA,"Balticina willemoesi","species",1393616
"3719","sinuous whelk","Buccinum plectrum","species",160127
"3720","Tanner crab","Chionoecetes bairdi","species",368558
"3721","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3722","spinyhead sculpin","Dasycottus setiger","species",280488
"3723","spinyhead sculpin","Dasycottus setiger","species",280488
"3724","variegated snailfish","Liparis gibbus","species",159526
"3725",NA,"Argis sp.","genus",107006
"3726",NA,"Urticina sp.","genus",100706
"3727","angular whelk","Buccinum angulosum","species",138858
"3728","rex sole","Glyptocephalus zachirus","species",274287
"3729",NA,"Leptasterias polaris","species",125154
"3730","Tanner crab","Chionoecetes bairdi","species",368558
"3731","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"3732","empty gastropod shells",NA,NA,NA
"3733","sea anemone unid.","Actiniaria","order",1360
"3734","angular whelk","Buccinum angulosum","species",138858
"3735","peachskin snailfish","Careproctus scottae","species",274470
"3736",NA,"Leptasterias polaris","species",125154
"3737","variegated snailfish","Liparis gibbus","species",159526
"3738","longfinger hermit","Pagurus rathbuni","species",254491
"3739","Bering skate","Bathyraja interrupta","species",271515
"3740","Alaska skate","Arctoraja parmifera","species",1577324
"3741",NA,"Leptasterias arctica","species",369158
"3742","Alaska skate","Arctoraja parmifera","species",1577324
"3743","fat whelk","Neptunea ventricosa","species",156264
"3744","Arctic surfclam","Mactromeris polynyma","species",156863
"3745","starry flounder","Platichthys stellatus","species",154781
"3746","empty bivalve shells",NA,NA,NA
"3747","Pacific halibut","Hippoglossus stenolepis","species",274290
"3748",NA,"Metridium sp.","genus",100770
"3749","discordant mussel","Musculus discors","species",140472
"3750","Pacific halibut","Hippoglossus stenolepis","species",274290
"3751","starry flounder","Platichthys stellatus","species",154781
"3752","threaded sculpin","Gymnocanthus pistilliger","species",254519
"3753","plain sculpin","Myoxocephalus jaok","species",254527
"3754","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"3755",NA,"Crangon sp.","genus",107007
"3756","flathead sole","Hippoglossoides elassodon","species",274289
"3757","Alaska skate","Arctoraja parmifera","species",1577324
"3758","plain sculpin","Myoxocephalus jaok","species",254527
"3759","yellowfin sole","Limanda aspera","species",254562
"3760",NA,"Henricia sp.","genus",123276
"3761","Pacific lyre crab","Hyas lyratus","species",442167
"3762","flathead sole","Hippoglossoides elassodon","species",274289
"3763","Pacific cod","Gadus macrocephalus","species",254538
"3764","Bering beringius","Beringius behringii","species",160112
"3765","walleye pollock","Gadus chalcogrammus","species",300735
"3766","common mud star","Ctenodiscus crispatus","species",123915
"3767","knobbyhand hermit","Pagurus confragosus","species",366670
"3768","Alaska skate","Arctoraja parmifera","species",1577324
"3769","Oregon rock crab","Glebocarcinus oregonensis","species",440384
"3770","Pacific halibut","Hippoglossus stenolepis","species",274290
"3771","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"3772","brittlestar unid.","Ophiuroidea","class",123084
"3773","yellowfin sole","Limanda aspera","species",254562
"3774","sturgeon poacher","Podothecus accipenserinus","species",254501
"3775","roughspine sculpin","Triglops macellus","species",274399
"3776","purple-orange sea star","Asterias amurensis","species",254497
"3777","Alaska skate","Arctoraja parmifera","species",1577324
"3778","sturgeon poacher","Podothecus accipenserinus","species",254501
"3779",NA,"Leptasterias arctica","species",369158
"3780","snow crab","Chionoecetes opilio","species",107315
"3781","red king crab","Paralithodes camtschaticus","species",233889
"3782","rex sole","Glyptocephalus zachirus","species",274287
"3783","Pacific cod","Gadus macrocephalus","species",254538
"3784","lyre whelk","Neptunea lyrata","species",254477
"3785","searcher","Bathymaster signatus","species",254513
"3786","lyre whelk","Neptunea lyrata","species",254477
"3787","empty bivalve shells",NA,NA,NA
"3788","yellowfin sole","Limanda aspera","species",254562
"3789","spinyhead sculpin","Dasycottus setiger","species",280488
"3790","Alaska skate","Arctoraja parmifera","species",1577324
"3791","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"3792","snow crab","Chionoecetes opilio","species",107315
"3793","empty bivalve shells",NA,NA,NA
"3794","snow crab","Chionoecetes opilio","species",107315
"3795","basketstar","Gorgonocephalus eucnemis","species",124969
"3796","flathead sole","Hippoglossoides elassodon","species",274289
"3797","basketstar","Gorgonocephalus eucnemis","species",124969
"3798","angular whelk","Buccinum angulosum","species",138858
"3799","empty gastropod shells",NA,NA,NA
"3800","Pacific halibut","Hippoglossus stenolepis","species",274290
"3801","Pacific halibut","Hippoglossus stenolepis","species",274290
"3802","bryozoan unid.","Bryozoa","phylum",146142
"3803","polar whelk","Buccinum polare","species",138873
"3804","Aleutian skate","Bathyraja aleutica","species",271506
"3805","wattled eelpout","Lycodes palearis","species",254585
"3806","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3807","arrowtooth flounder","Atheresthes stomias","species",279792
"3808","Tanner crab","Chionoecetes bairdi","species",368558
"3809","Alaska skate","Arctoraja parmifera","species",1577324
"3810","lyre whelk","Neptunea lyrata","species",254477
"3811",NA,"Chrysaora melanaster","species",287209
"3812","brown rimmed jelly","Aurelia limbata","species",158199
"3813","sinuous whelk","Buccinum plectrum","species",160127
"3814","Kamchatka flounder","Atheresthes evermanni","species",279791
"3815","walleye pollock","Gadus chalcogrammus","species",300735
"3816","blue king crab","Paralithodes platypus","species",254493
"3817","arrowtooth flounder","Atheresthes stomias","species",279792
"3818","searcher","Bathymaster signatus","species",254513
"3819","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3820","sponge unid.","Porifera","phylum",558
"3821","Bering skate","Bathyraja interrupta","species",271515
"3822","Alaskan pink shrimp","Pandalus eous","species",515463
"3823",NA,"Neptunea heros","species",254479
"3824","snow crab","Chionoecetes opilio","species",107315
"3825","empty gastropod shells",NA,NA,NA
"3826",NA,"Crangon sp.","genus",107007
"3827","lyre whelk","Neptunea lyrata","species",254477
"3828","longfinger hermit","Pagurus rathbuni","species",254491
"3829","ladder whelk","Buccinum scalariforme","species",138875
"3830","sea raspberry","Gersemia sp.","genus",146953
"3831","hybrid Tanner crab","Chionoecetes hybrid","genus",NA
"3832","Pacific capelin","Mallotus villosus","species",126735
"3833","Greenland cockle","Serripes groenlandicus","species",582749
"3834",NA,"Leptasterias arctica","species",369158
"3835","barnacle unid.","Thoracica","infraclass",1107
"3836",NA,"Neptunea heros","species",254479
"3837","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3838","longhead dab","Myzopsetta proboscidea","species",319505
"3839","Pacific herring","Clupea pallasii","species",151159
"3840","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3841","northern rock sole","Lepidopsetta polyxystra","species",281307
"3842","sea onion","Boltenia ovifera","species",103815
"3843","Pacific halibut","Hippoglossus stenolepis","species",274290
"3844","Pacific cod","Gadus macrocephalus","species",254538
"3845","fat whelk","Neptunea ventricosa","species",156264
"3846",NA,"Chrysaora melanaster","species",287209
"3847","Alaska great-tellin","Megangulus luteus","species",423511
"3848","longhead dab","Myzopsetta proboscidea","species",319505
"3849","ribbed sculpin","Triglops pingelii","species",127207
"3850","Alaskan hermit","Pagurus ochotensis","species",366742
"3851","flathead sole","Hippoglossoides elassodon","species",274289
"3852","walleye pollock","Gadus chalcogrammus","species",300735
"3853","walleye pollock","Gadus chalcogrammus","species",300735
"3854","northern rock sole","Lepidopsetta polyxystra","species",281307
"3855","warped whelk","Pyrulofusus deformis","species",254378
"3856","Pacific halibut","Hippoglossus stenolepis","species",274290
"3857","sea raspberry","Gersemia sp.","genus",146953
"3858","arrowtooth flounder","Atheresthes stomias","species",279792
"3859","hairy hermit crab","Pagurus capillatus","species",254489
"3860","empty gastropod shells",NA,NA,NA
"3861",NA,"Leptasterias polaris","species",125154
"3862",NA,"Chrysaora melanaster","species",287209
"3863","Alaska great-tellin","Megangulus luteus","species",423511
"3864",NA,"Urticina sp.","genus",100706
"3865","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"3866","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3867","basketstar","Gorgonocephalus eucnemis","species",124969
"3868","red king crab","Paralithodes camtschaticus","species",233889
"3869","snail egg","Gastropoda egg","class",NA
"3870","plain sculpin","Myoxocephalus jaok","species",254527
"3871","fat whelk","Neptunea ventricosa","species",156264
"3872",NA,"Leptasterias polaris","species",125154
"3873",NA,"Argis sp.","genus",107006
"3874",NA,"Chrysaora melanaster","species",287209
"3875","Kamchatka flounder","Atheresthes evermanni","species",279791
"3876","red king crab","Paralithodes camtschaticus","species",233889
"3877","yellowfin sole","Limanda aspera","species",254562
"3878","shortfin eelpout","Lycodes brevipes","species",254595
"3879","sturgeon poacher","Podothecus accipenserinus","species",254501
"3880","ladder whelk","Buccinum scalariforme","species",138875
"3881",NA,"Pyrulofusus melonis","species",491325
"3882","sponge unid.","Porifera","phylum",558
"3883","Aleutian hermit","Pagurus aleuticus","species",366647
"3884","empty gastropod shells",NA,NA,NA
"3885","Aleutian alligatorfish","Aspidophoroides monopterygius","species",159459
"3886","Aleutian hermit","Pagurus aleuticus","species",366647
"3887","basketstar","Gorgonocephalus eucnemis","species",124969
"3888","snow crab","Chionoecetes opilio","species",107315
"3889",NA,"Leptasterias arctica","species",369158
"3890","fat whelk","Neptunea ventricosa","species",156264
"3891",NA,"Leptasterias polaris","species",125154
"3892","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3893","circumboreal toad crab","Hyas coarctatus","species",107323
"3894","wattled eelpout","Lycodes palearis","species",254585
"3895","Arctic surfclam","Mactromeris polynyma","species",156863
"3896","basketstar","Gorgonocephalus eucnemis","species",124969
"3897","Alaska skate","Arctoraja parmifera","species",1577324
"3898","angular whelk","Buccinum angulosum","species",138858
"3899","sturgeon poacher","Podothecus accipenserinus","species",254501
"3900","rusty moonsnail","Cryptonatica russa","species",580692
"3901","common mud star","Ctenodiscus crispatus","species",123915
"3902","Pacific cod","Gadus macrocephalus","species",254538
"3903","Oregon triton","Fusitriton oregonensis","species",476496
"3904","ladder whelk","Buccinum scalariforme","species",138875
"3905",NA,"Argis sp.","genus",107006
"3906","mud skate","Bathyraja taranetzi","species",298834
"3907","variegated snailfish","Liparis gibbus","species",159526
"3908","notched brittlestar","Ophiura sarsii","species",124934
"3909","helmet whelk","Clinopegma magnum","species",490909
"3910","notched brittlestar","Ophiura sarsii","species",124934
"3911","notched brittlestar","Ophiura sarsii","species",124934
"3912","flathead sole","Hippoglossoides elassodon","species",274289
"3913","Pacific halibut","Hippoglossus stenolepis","species",274290
"3914","northern rock sole","Lepidopsetta polyxystra","species",281307
"3915","purple-orange sea star","Asterias amurensis","species",254497
"3916","walleye pollock","Gadus chalcogrammus","species",300735
"3917","empty bivalve shells",NA,NA,NA
"3918","helmet crab","Telmessus cheiragonus","species",254360
"3919",NA,"Chrysaora melanaster","species",287209
"3920","Bering poacher","Occella dodecaedron","species",254398
"3921","walleye pollock","Gadus chalcogrammus","species",300735
"3922","walleye pollock","Gadus chalcogrammus","species",300735
"3923","Pacific halibut","Hippoglossus stenolepis","species",274290
"3924","Alaska plaice","Pleuronectes quadrituberculatus","species",254564
"3925","bryozoan unid.","Bryozoa","phylum",146142
"3926","empty bivalve shells",NA,NA,NA
"3927","Alaskan hermit","Pagurus ochotensis","species",366742
"3928","snow crab","Chionoecetes opilio","species",107315
"3929","sea peach","Halocynthia aurantium","species",250674
"3930","Dungeness crab","Metacarcinus magister","species",440388
"3931",NA,"Chrysaora melanaster","species",287209
"3932",NA,"Chrysaora melanaster","species",287209
"3933","yellowfin sole","Limanda aspera","species",254562
"3934","purple-orange sea star","Asterias amurensis","species",254497
"3935","Alaskan hermit","Pagurus ochotensis","species",366742
"3936","wattled eelpout","Lycodes palearis","species",254585
"3937","Pribilof whelk","Neptunea pribiloffensis","species",491185
"3938","isopod unid.","Isopoda","order",1131
"3939","hairy hermit crab","Pagurus capillatus","species",254489
"3940","purple-orange sea star","Asterias amurensis","species",254497
"3941","Pacific cod","Gadus macrocephalus","species",254538
"3942","snow crab","Chionoecetes opilio","species",107315
"3943","sponge unid.","Porifera","phylum",558
"3944","great sculpin","Myoxocephalus polyacanthocephalus","species",254528
"3945","wattled eelpout","Lycodes palearis","species",254585
"3946","sea potato","Styela rustica","species",103937
"3947","hydroid unid.","Hydroidolina","subclass",19494
"3948","fat whelk","Neptunea ventricosa","species",156264
"3949","purple-orange sea star","Asterias amurensis","species",254497
"3950","sea potato","Styela rustica","species",103937
"3951","Pacific halibut","Hippoglossus stenolepis","species",274290
"3952",NA,"Metridium sp.","genus",100770
"3953","Tanner crab","Chionoecetes bairdi","species",368558
"3954","red king crab","Paralithodes camtschaticus","species",233889
"3955","rougheye rockfish","Sebastes aleutianus","species",274771
"3956","hookhorn sculpin","Artediellus pacificus","species",254517
"3957","giant scale worm","Eunoe nodosa","species",130745
"3958","Pacific lyre crab","Hyas lyratus","species",442167
"3959","Pacific cod","Gadus macrocephalus","species",254538
"3960","Alaska skate","Arctoraja parmifera","species",1577324
"3961","walleye pollock","Gadus chalcogrammus","species",300735
"3962",NA,"Argis sp.","genus",107006
"3963","empty bivalve shells",NA,NA,NA
"3964","Alaska skate","Arctoraja parmifera","species",1577324
"3965","northern rock sole","Lepidopsetta polyxystra","species",281307
"3966","empty gastropod shells",NA,NA,NA
"3967","notched brittlestar","Ophiura sarsii","species",124934
"3968","obscure sea star","Pteraster obscurus","species",124149
"3969","Pacific ocean perch","Sebastes alutus","species",254573
"3970","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"3971","giant scale worm","Eunoe nodosa","species",130745
"3972","Tanner crab","Chionoecetes bairdi","species",368558
"3973","spatulate sculpin","Icelus spatula","species",127200
"3974","longfinger hermit","Pagurus rathbuni","species",254491
"3975",NA,"Volutopsius sp.","genus",137715
"3976",NA,"Neptunea borealis","species",254478
"3977","flathead sole","Hippoglossoides elassodon","species",274289
"3978","plain sculpin","Myoxocephalus jaok","species",254527
"3979","Tanner crab","Chionoecetes bairdi","species",368558
"3980",NA,"Chrysaora melanaster","species",287209
"3981","rex sole","Glyptocephalus zachirus","species",274287
"3982",NA,"Leptasterias groenlandica","species",369176
"3983","flathead sole","Hippoglossoides elassodon","species",274289
"3984","Bering flounder","Hippoglossoides robustus","species",254561
"3985",NA,"Balticina willemoesi","species",1393616
"3986","Aleutian hermit","Pagurus aleuticus","species",366647
"3987","knobbyhand hermit","Pagurus confragosus","species",366670
"3988","Pacific cod","Gadus macrocephalus","species",254538
"3989",NA,"Metridium sp.","genus",100770
"3990","green sea urchin","Strongylocentrotus droebachiensis","species",124321
"3991",NA,"Stomphia sp.","genus",100716
"3992","sea mouse unid.","Aphroditidae","family",938
"3993","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
